feature,nonnull_frac,kept
plasma__InstrumentRep3,0.08845637583892617,True
plasma__subject_id__dup1,0.08845637583892617,True
plasma__InstrumentRep1,0.08845637583892617,True
plasma__InstrumentRep2,0.08845637583892617,True
plasma__SLOPEMax_24h_Rep2,0.08536912751677853,True
plasma__SLOPEMax_24h_Rep3,0.08536912751677853,True
plasma__TSmax_24h_Rep2,0.08536912751677853,True
plasma__TSmax_24h_Rep3,0.08536912751677853,True
plasma__SLOPEMax_24h_Rep1,0.08536912751677853,True
plasma__TSmax_24h_Rep1,0.08536912751677853,True
plasma__AUC_24h_Rep1,0.08536912751677853,True
plasma__AUC_24h_Rep2,0.08536912751677853,True
plasma__AUC_24h_Rep3,0.08536912751677853,True
plasma__Fmax_24h_Rep3,0.08536912751677853,True
plasma__Fmax_24h_Rep1,0.08536912751677853,True
plasma__Fmax_24h_Rep2,0.08536912751677853,True
plasma__TTT_24h_Rep1,0.07704697986577182,True
plasma__TTT_24h_Rep2,0.07691275167785235,True
plasma__TTT_24h_Rep3,0.0763758389261745,True
plasma__ptau217p,0.05610738255033557,True
plasma__score,0.037449664429530204,False
plasma__total_di-18:1-bmp,0.03087248322147651,False
"plasma__2,2'_di-22:6-bmp",0.03087248322147651,False
plasma__total_di-22:6-bmp,0.03087248322147651,False
plasma__fbxo7-005,0.030335570469798658,False
plasma__dj-1,0.030335570469798658,False
plasma__snca-e4e6,0.030335570469798658,False
plasma__srcap,0.030335570469798658,False
plasma__znf746,0.030335570469798658,False
plasma__ubc,0.030335570469798658,False
plasma__snca-e3e4,0.030335570469798658,False
plasma__snca-007,0.030335570469798658,False
plasma__snca-3utr-2,0.030335570469798658,False
plasma__snca-3utr-1,0.030335570469798658,False
plasma__rpl13,0.030335570469798658,False
plasma__fbxo7-007,0.030335570469798658,False
plasma__fbxo7-010,0.030335570469798658,False
plasma__fbxo7-008,0.030335570469798658,False
plasma__dhpr,0.030335570469798658,False
plasma__fbxo7-001,0.030335570469798658,False
plasma__glt25d1,0.030335570469798658,False
plasma__mon1b,0.030335570469798658,False
plasma__gusb,0.030335570469798658,False
plasma__serum_igf-1,0.02791946308724832,False
plasma__nfl,0.020134228187919462,False
plasma__csf_alpha-synuclein,0.015838926174496646,False
plasma__saa_1:800_auc_(rep_2),0.013557046979865772,False
plasma__saa_1:800_auc_(rep_3),0.013557046979865772,False
plasma__saa_1:400_ttt_(rep_4),0.013557046979865772,False
plasma__saa_1:400_ttt_(rep_3),0.013557046979865772,False
plasma__saa_1:1600_auc_(rep_4),0.013557046979865772,False
plasma__saa_1:1600_auc_(rep_2),0.013557046979865772,False
plasma__saa_1:1600_fmax_(rep_1),0.013557046979865772,False
plasma__saa_1:1600_auc_(rep_3),0.013557046979865772,False
plasma__saa_1:800_fmax_(rep_2),0.013557046979865772,False
plasma__saa_1:800_fmax_(rep_1),0.013557046979865772,False
plasma__saa_1:800_auc_(rep_4),0.013557046979865772,False
plasma__saa_1:800_auc_(rep_1),0.013557046979865772,False
plasma__saa_1:400_ttt_(rep_1),0.013557046979865772,False
plasma__saa_1:1600_fmax_(rep_2),0.013557046979865772,False
plasma__saa_1:1600_fmax_(rep_4),0.013557046979865772,False
plasma__saa_1:1600_fmax_(rep_3),0.013557046979865772,False
plasma__saa_1:1600_ttt_(rep_2),0.013557046979865772,False
plasma__saa_1:1600_ttt_(rep_3),0.013557046979865772,False
plasma__saa_1:1600_ttt_(rep_4),0.013557046979865772,False
plasma__saa_1:1600_ttt_(rep_1),0.013557046979865772,False
plasma__saa_1:400_auc_(rep_2),0.013557046979865772,False
plasma__saa_1:400_auc_(rep_3),0.013557046979865772,False
plasma__saa_1:400_auc_(rep_4),0.013557046979865772,False
plasma__saa_1:400_fmax_(rep_1),0.013557046979865772,False
plasma__saa_1:400_fmax_(rep_2),0.013557046979865772,False
plasma__saa_1:400_fmax_(rep_3),0.013557046979865772,False
plasma__saa_1:400_fmax_(rep_4),0.013557046979865772,False
plasma__saa_1:400_auc_(rep_1),0.013557046979865772,False
plasma__saa_1:1600_auc_(rep_1),0.013557046979865772,False
plasma__saa_1:400_ttt_(rep_2),0.013557046979865772,False
plasma__lba_(rep_2),0.013557046979865772,False
plasma__lba_(rep_1),0.013557046979865772,False
plasma__saa_1:800_ttt_(rep_1),0.013557046979865772,False
plasma__saa_1:800_ttt_(rep_2),0.013557046979865772,False
plasma__saa_1:800_ttt_(rep_3),0.013557046979865772,False
plasma__saa_1:800_ttt_(rep_4),0.013557046979865772,False
plasma__saa_1:800_fmax_(rep_4),0.013557046979865772,False
plasma__saa_1:800_fmax_(rep_3),0.013557046979865772,False
plasma__ptdetn_16:0/22:6,0.01261744966442953,False
plasma__ptdetn_18:0/18:1,0.01261744966442953,False
plasma__ptdetn_18:0/22:6,0.01261744966442953,False
plasma__ptdetn_18:0/20:5,0.01261744966442953,False
plasma__ptdetn_16:0/20:4,0.01261744966442953,False
plasma__ptdetn_16:0/20:5,0.01261744966442953,False
plasma__plsetn_18:0/18:2,0.01261744966442953,False
plasma__plsetn_18:0/20:4,0.01261744966442953,False
plasma__plsetn_16:0/18:2,0.01261744966442953,False
plasma__plsetn_16:0/20:4,0.01261744966442953,False
plasma__plsetn_16:0/22:6,0.01261744966442953,False
plasma__plsetn_18:0/18:1,0.01261744966442953,False
plasma__plsetn_16:0/20:5,0.01261744966442953,False
plasma__plsetn_16:0/18:1,0.01261744966442953,False
plasma__plsetn_18:0/22:6,0.01261744966442953,False
plasma__plsetn_18:0/20:5,0.01261744966442953,False
plasma__ptdetn_16:0/18:1,0.01261744966442953,False
plasma__ptdetn_16:0/18:2,0.01261744966442953,False
plasma__ptdetn_18:0/20:4,0.01261744966442953,False
plasma__ptdetn_18:0/18:2,0.01261744966442953,False
plasma__egf_elisa,0.008456375838926174,False
plasma__apolipoprotein_a1,0.007651006711409396,False
plasma__hdl,0.007651006711409396,False
plasma__ldl,0.007651006711409396,False
plasma__total_cholesterol,0.007651006711409396,False
plasma__triglycerides,0.007651006711409396,False
plasma__flowcytometry_%bcells,0.007516778523489933,False
plasma__flowcytometry_%cd38+hla-dr+cd4,0.007516778523489933,False
plasma__flowcytometry_%cd38+hla-dr+cd8,0.007516778523489933,False
plasma__flowcytometry_%classicalmono,0.007516778523489933,False
plasma__flowcytometry_%temcd4,0.007516778523489933,False
plasma__flowcytometry_%intermmono,0.007516778523489933,False
plasma__flowcytometry_%cd8,0.007516778523489933,False
plasma__flowcytometry_%cd4,0.007516778523489933,False
plasma__flowcytometry_%gdtcr,0.007516778523489933,False
plasma__flowcytometry_%tregscd4,0.007516778523489933,False
plasma__flowcytometry_%tncd8,0.007516778523489933,False
plasma__flowcytometry_%tncd4,0.007516778523489933,False
plasma__flowcytometry_%tcmcd8,0.007516778523489933,False
plasma__flowcytometry_%tcmcd4,0.007516778523489933,False
plasma__flowcytometry_%nonclassicalmono,0.007516778523489933,False
plasma__flowcytometry_%nkcd56int,0.007516778523489933,False
plasma__flowcytometry_%nkcd56hi,0.007516778523489933,False
plasma__flowcytometry_%mait,0.007516778523489933,False
plasma__flowcytometry_%temcd8,0.007516778523489933,False
plasma__flowcytometry_%temracd4,0.007516778523489933,False
plasma__flowcytometry_%th2cd4,0.007516778523489933,False
plasma__flowcytometry_%th1cd4,0.007516778523489933,False
plasma__flowcytometry_%th17cd4,0.007516778523489933,False
plasma__flowcytometry_%th1*cd4,0.007516778523489933,False
plasma__flowcytometry_%temracd8,0.007516778523489933,False
plasma__fluorospot_total_pt,0.0071140939597315435,False
plasma__fluorospot_il-10_pt,0.00697986577181208,False
plasma__fluorospot_total_a-syn,0.00697986577181208,False
plasma__fluorospot_il-5_a-syn,0.006845637583892617,False
plasma__fluorospot_ifng_pt,0.006845637583892617,False
plasma__fluorospot_il-5_pt,0.006845637583892617,False
plasma__fluorospot_total_ebv,0.006845637583892617,False
plasma__fluorospot_il-10_a-syn,0.006711409395973154,False
plasma__fluorospot_il-10_ebv,0.006711409395973154,False
plasma__fluorospot_ifng_ebv,0.006577181208053691,False
plasma__fluorospot_il-5_ebv,0.006577181208053691,False
plasma__csf_hemoglobin,0.006442953020134228,False
plasma__fluorospot_ifng_a-syn,0.006442953020134228,False
plasma__ptau,0.005906040268456376,False
plasma__ttau,0.005906040268456376,False
plasma__grs,0.005369127516778523,False
plasma__abeta_1-42,0.00523489932885906,False
plasma__gapdh,0.0036241610738255033,False
plasma__hnf4a,0.00348993288590604,False
plasma__sod2,0.00348993288590604,False
plasma__app,0.00348993288590604,False
plasma__ptau181,0.003355704697986577,False
plasma__abeta40,0.003355704697986577,False
plasma__abeta42,0.003355704697986577,False
plasma__ps65_ubiquitin,0.003355704697986577,False
plasma__nev_a-synuclein_(rep1),0.003355704697986577,False
plasma__nev_a-synuclein_(rep2),0.003355704697986577,False
plasma__Fmax_150h_Rep1,0.003221476510067114,False
plasma__Fmax_150h_Rep2,0.003221476510067114,False
plasma__Fmax_150h_Rep3,0.003221476510067114,False
plasma__AUC_150h_Rep3,0.0028187919463087247,False
plasma__T50_150h_Rep2,0.0028187919463087247,False
plasma__T50_150h_Rep1,0.0028187919463087247,False
plasma__SLOPE_150h_Rep3,0.0028187919463087247,False
plasma__SLOPE_150h_Rep2,0.0028187919463087247,False
plasma__SLOPE_150h_Rep1,0.0028187919463087247,False
plasma__T50_150h_Rep3,0.0028187919463087247,False
plasma__TTT_150h_Rep3,0.0028187919463087247,False
plasma__AUC_150h_Rep2,0.0028187919463087247,False
plasma__TTT_150h_Rep1,0.0028187919463087247,False
plasma__TTT_150h_Rep2,0.0028187919463087247,False
plasma__AUC_150h_Rep1,0.0028187919463087247,False
plasma__nev_syntenin-1_(rep2),0.0026845637583892616,False
plasma__fluorospot_ifng_gba,0.0025503355704697985,False
plasma__fluorospot_il-5_lrrk2,0.0025503355704697985,False
plasma__fluorospot_ifng_lrrk2,0.0025503355704697985,False
plasma__fluorospot_il-10_lrrk2,0.0025503355704697985,False
plasma__fluorospot_il-5_parkin,0.0024161073825503354,False
plasma__fluorospot_il-10_gba,0.0024161073825503354,False
plasma__fluorospot_il-10_pink1,0.0024161073825503354,False
plasma__fluorospot_il-5_gba,0.0024161073825503354,False
plasma__fluorospot_ifng_pink1,0.0024161073825503354,False
plasma__fluorospot_ifng_parkin,0.0024161073825503354,False
plasma__fluorospot_il-10_parkin,0.0024161073825503354,False
plasma__nev_syntenin-1_(rep1),0.0024161073825503354,False
plasma__fluorospot_il-5_pink1,0.0024161073825503354,False
plasma__fluorospot_il17a_lrrk2,0.0024161073825503354,False
plasma__fluorospot_tnf_lrrk2,0.0024161073825503354,False
plasma__fluorospot_tnf_pink1,0.0022818791946308723,False
plasma__fluorospot_tnf_parkin,0.0022818791946308723,False
plasma__fluorospot_tnf_gba,0.0022818791946308723,False
plasma__fluorospot_il17a_gba,0.0022818791946308723,False
plasma__c5orf4,0.002147651006711409,False
plasma__fluorospot_il17a_pink1,0.002147651006711409,False
plasma__fluorospot_il17a_pt,0.0018791946308724832,False
plasma__fluorospot_tnf_pt,0.0018791946308724832,False
plasma__copz1,0.001476510067114094,False
plasma__wls,0.001476510067114094,False
plasma__skin_synsaa_r&d-v1_24h_tsmax,0.0009395973154362416,False
plasma__eftud2,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_24h_fmax,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_24h_aucf,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_48h_tsmax,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_48h_ttt,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_48h_smax,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_48h_aucf,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_24h_ttt,0.0009395973154362416,False
plasma__znf160,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_24h_smax,0.0009395973154362416,False
plasma__skin_synsaa_r&d-v1_48h_fmax,0.0009395973154362416,False
plasma__abeta,0.0006711409395973154,False
plasma__abeta_raw,0.0006711409395973154,False
plasma__ptbp1,0.00026845637583892615,False
